id 1,Team 1,id 2,Team 2,Goals 1,Goals 2
Group A,,,,,
51,Qatar,46,Ecuador,0,1
20,Senegal,10,Netherlands,1,2
51,Qatar,20,Senegal,0,1
10,Netherlands,46,Ecuador,2,1
46,Ecuador,20,Senegal,0,1
10,Netherlands,51,Qatar,2,1
Group B,,,,,
5,England,21,IR Iran,2,0
15,USA,18,Wales,1,1
18,Wales,21,IR Iran,2,1
5,England,15,USA,2,1
18,Wales,5,England,0,2
21,IR Iran,15,USA,0,2
Group C,,,,,
4,Argentina,49,Saudi Arabia,2,1
9,Mexico,26,Poland,0,2
26,Poland,49,Saudi Arabia,2,1
4,Argentina,9,Mexico,2,0
26,Poland,4,Argentina,1,1
49,Saudi Arabia,9,Mexico,1,0
Group D,,,,,
11,Denmark,35,Tunisia,1,0
3,France,42,Australia,3,0
35,Tunisia,42,Australia,1,1
3,France,11,Denmark,2,0
42,Australia,11,Denmark,1,1
35,Tunisia,3,France,0,3
Group E,,,,,
12,Germany,23,Japan,2,1
7,Spain,31,Costa Rica,1,0
23,Japan,31,Costa Rica,0,1
7,Spain,12,Germany,2,2
23,Japan,7,Spain,0,2
31,Costa Rica,12,Germany,0,3
Group F,,,,,
24,Morocco,16,Croatia,0,2
2,Belgium,38,Canada,2,1
2,Belgium,24,Morocco,3,0
16,Croatia,38,Canada,2,1
16,Croatia,2,Belgium,1,2
38,Canada,24,Morocco,2,1
Group G,,,,,
14,Switzerland,37,Cameroon,1,0
1,Brazil,25,Serbia,3,1
37,Cameroon,25,Serbia,0,1
1,Brazil,14,Switzerland,2,0
25,Serbia,14,Switzerland,1,1
37,Cameroon,1,Brazil,0,4
Group H,,,,,
13,Uruguay,29,South Korea,1,0
8,Portugal,60,Ghana,2,0
29,South Korea,60,Ghana,1,1
8,Portugal,13,Uruguay,2,0
60,Ghana,13,Uruguay,0,1
29,South Korea,8,Portugal,1,2
Round of 16,,,,,
10,Netherlands,15,USA,1,0
4,Argentina,11,Denmark,1,0
12,Germany,16,Croatia,1,0
1,Brazil,13,Uruguay,1,0
5,England,20,Senegal,1,0
3,France,26,Poland,1,0
2,Belgium,7,Spain,0,1
8,Portugal,25,Serbia,1,0
Quarter final,,,,,
10,Netherlands,4,Argentina,0,1
12,Germany,1,Brazil,0,1
5,England,3,France,0,1
7,Spain,8,Portugal,0,1
Semi-Final,,,,,
4,Argentina,1,Brazil,0,1
3,France,8,Portugal,1,0
Third place,,,,,
4,Argentina,8,Portugal,0,1
Final,,,,,
1,Brazil,3,France,0,1
