id 1;Team 1;id 2;Team 2;Goals 1;Goals 2
Group A;;;;;
51;Qatar;46;Ecuador;1;0
20;Senegal;10;Netherlands;1;2
51;Qatar;20;Senegal;1;1
10;Netherlands;46;Ecuador;3;1
46;Ecuador;20;Senegal;2;1
10;Netherlands;51;Qatar;3;2
Group B;;;;;
5;England;21;IR Iran;3;1
15;USA;18;Wales;2;1
18;Wales;21;IR Iran;1;2
5;England;15;USA;1;2
18;Wales;5;England;1;3
21;IR Iran;15;USA;1;2
Group C;;;;;
4;Argentina;49;Saudi Arabia;3;1
9;Mexico;26;Poland;2;1
26;Poland;49;Saudi Arabia;3;1
4;Argentina;9;Mexico;3;2
26;Poland;4;Argentina;1;2
49;Saudi Arabia;9;Mexico;1;3
Group D;;;;;
11;Denmark;35;Tunisia;2;1
3;France;42;Australia;1;0
35;Tunisia;42;Australia;1;2
3;France;11;Denmark;2;2
42;Australia;11;Denmark;1;2
35;Tunisia;3;France;2;3
Group E;;;;;
12;Germany;23;Japan;3;1
7;Spain;31;Costa Rica;2;0
23;Japan;31;Costa Rica;1;2
7;Spain;12;Germany;2;3
23;Japan;7;Spain;1;3
31;Costa Rica;12;Germany;1;2
Group F;;;;;
24;Morocco;16;Croatia;1;1
2;Belgium;38;Canada;2;1
2;Belgium;24;Morocco;1;1
16;Croatia;38;Canada;1;3
16;Croatia;2;Belgium;1;2
38;Canada;24;Morocco;2;1
Group G;;;;;
14;Switzerland;37;Cameroon;1;1
1;Brazil;25;Serbia;3;1
37;Cameroon;25;Serbia;1;2
1;Brazil;14;Switzerland;3;1
25;Serbia;14;Switzerland;2;1
37;Cameroon;1;Brazil;1;2
Group H;;;;;
13;Uruguay;29;South Korea;2;1
8;Portugal;60;Ghana;3;0
29;South Korea;60;Ghana;1;1
8;Portugal;13;Uruguay;3;2
60;Ghana;13;Uruguay;1;2
29;South Korea;8;Portugal;1;2
Round of 16;;;;;
10;Netherlands;5;England;2;1
4;Argentina;11;Denmark;2;0
12;Germany;38;Canada;3;1
1;Brazil;13;Uruguay;2;1
15;USA;51;Qatar;2;1
3;France;9;Mexico;4;7
2;Belgium;7;Spain;1;2
8;Portugal;25;Serbia;2;0
Quarter final;;;;;
10;Netherlands;4;Argentina;1;2
12;Germany;1;Brazil;1;2
15;USA;9;Mexico;1;2
7;Spain;8;Portugal;2;1
Semi-Final;;;;;
4;Argentina;1;Brazil;1;0
9;Mexico;7;Spain;1;3
Third place;;;;;
1;Brazil;9;Mexico;2;1
Final;;;;;
4;Argentina;7;Spain;2;1
